,ciudades,PRD,SHDI,SIDI,MSIDI,SHEI,SIEI,MSIEI,NP,DIVISION,SPLIT,MESH,COM,ED_SING,EQUIP,IND,OCIO,OFI,RES_PLU,RES_UNI
59,Segovia,0.4946648044692737,0.0,1.0,1.0,0.9897286941312263,1.0,1.0000000000000002,0.015224691396679528,0.9900533407194296,0.1347397161303078,0.002045128081051112,0.06526967637958174,0.23183469287090855,0.25318119364923647,0.37940060099333717,0.3430443623369964,0.00892115295722063,0.46723819961165414,0.2230578667418826
60,Sevilla,0.04508100558659218,0.17118923603298145,0.19655147955109079,0.10733142353877642,0.2184694414862535,0.19331545735891092,0.10143241799141155,0.4407802556495738,0.9753556047961975,0.058306158435905094,0.07050110568550355,0.26729773847432375,0.1445716317572197,0.28944490467082734,0.11677590102575847,0.2372345361605392,0.3362791223259359,0.6752131277697451,0.3255184984576629
61,Soria,0.722913407821229,0.0029293646982500674,0.9250110335841286,0.8391574480407114,0.8873334129965766,0.925074786263443,0.8393895911746982,0.0,0.9881524633226713,0.11543549316612783,0.001422696874546256,0.13499577919018318,0.04171536573233125,0.27172959003480796,0.6952882253497001,0.08378912454727641,0.15492082004886767,0.41836355715696993,0.22810684395793956
62,Terragona,0.20043819832402235,0.0002848404020167547,0.9930291391702745,0.9832006782700069,0.9999999999999999,0.9930352600724608,0.9832247849928911,0.047560526954357245,0.9903705259019673,0.1386240203222325,0.006213113938943101,0.07684940137464676,0.1671889745760636,0.25370446553574577,0.3868447907532062,0.16606857821379656,0.4383630268478873,0.2235211965445596,0.4248746582754413
63,Terrasa,0.2105066340782123,0.002134957347179332,0.9398275608423354,0.8678581070273148,0.9026510789335805,0.9398781601143757,0.8680484535635845,0.17271610060037731,0.9992383088222154,0.6726811718040238,0.00033628103227950124,0.33411749229992294,0.06027869157976657,0.11822481216397447,0.4666943883186877,0.047565580087291046,0.06028727341476805,0.4216451296331887,0.47059032518546323
64,Teruel,0.5248910614525139,0.0038819431833403296,0.9023015531083183,0.7975501858477522,0.8486249555177081,0.9023845478086621,0.7978414612212641,0.019608150102150244,0.9909356516145174,0.1460548528300223,0.0016381519906431023,0.06231450854403678,0.044124172830143686,0.2181070104412725,0.7312385349952724,0.14727546932560404,0.0,0.1826083930890266,0.3977799274612168
65,Toledo,0.15205621508379888,0.002604110137582853,0.939398039174478,0.8670077405478132,0.9231726805849733,0.9394498257379581,0.8671990589705654,0.034214460717165156,0.9558263790854347,0.03274302204021718,0.037661734077467875,0.00952298642832252,0.22967600626428894,0.2909972405623356,0.21758973010102214,0.25692735892426855,0.09838570273870093,0.05369108994579924,0.5895090336133214
66,Torrejon,0.12711592178770947,0.03729946679782738,0.5470240847379262,0.36045106725735004,0.5378109328609565,0.5474113330615573,0.36137210703684697,0.019342011537889524,0.0,0.0,1.0,0.007003071074198133,1.0,0.0,0.13982429173136912,0.009529714214611028,0.019765787309178003,0.021861287154785525,0.016519165637797446
67,Valencia,0.11677898044692736,0.0056034275089118495,0.8782785507124543,0.7563260627526205,0.8686239312760081,0.8783817458357975,0.756676674731758,0.23327045157452275,0.996915262414896,0.335861964048326,0.0039016640494572664,0.37539000226872293,0.06689145575716135,0.3788827765016114,0.2128350357820459,0.12053265153660511,0.13402736187307765,0.9766644873476715,0.10938271115946048
68,Valladolid,0.0887461592178771,0.0020245905154499446,0.9474761989828088,0.8832013737370161,0.912926324193508,0.9475204262673473,0.8833690639198971,0.0998645824364203,0.9934932363610374,0.1928252168281085,0.01001447644608909,0.052101060342205255,0.08796425827467863,0.36509826757539754,0.6452605359292726,0.10476836690976568,0.06362513254582067,0.32848447292364463,0.22127347400553932
69,Vigo,0.09218575418994412,0.006780203097912918,0.85351340843176,0.7164688484520485,0.804536602852907,0.8536382584130958,0.7168772211274762,0.24525451457108643,0.9951729776094065,0.2438841653082204,0.007408092284427713,0.029831369900797183,0.04313314198611085,0.2438572193098908,0.328469494430252,0.06404930392959694,0.05324604387938619,0.12672920124794707,0.7234580983781252
70,Zamora,0.49394622905027935,0.001249882860708278,0.9622900991971756,0.9140187814027064,0.9142079394489316,0.9623226517687455,0.9141428794607985,0.030527658841671038,0.9746921963510302,0.05683070104264482,0.006277470951368063,0.15178632030120842,0.05929549133883149,0.46164138862620424,0.4828262355683135,0.04164552594667055,0.014969645499993883,0.3672904702052303,0.2871664638320245
71,Zaragoza,0.054399092178770946,0.0032834297890469172,0.9201536295237696,0.8300247017236834,0.8787521059328544,0.9202218611300909,0.8302694300654179,0.1942263586765086,0.9981415628741446,0.45679498050236633,0.006034497717411277,0.08847646456170212,0.0974538841303691,0.21683315565450534,0.73185667285747,0.02147854443875526,0.028872302471959682,0.41594980600375864,0.19618006348635464
